"product_tag_id","product_id","tag_id"
"0","586","14"
"1","651","98"
"2","990","63"
"3","614","148"
"4","239","105"
"5","128","63"
"6","807","57"
"7","211","140"
"8","991","173"
"9","439","63"
"10","440","127"
"11","853","61"
"12","220","148"
"13","129","173"
"14","642","90"
"15","348","165"
"16","751","173"
"17","753","178"
"18","449","12"
"19","340","98"
"20","313","74"
"21","29","98"
"22","192","14"
"23","881","195"
"24","734","98"
"25","321","141"
"26","29","121"
"27","449","181"
"28","19","195"
"29","897","14"
"30","662","180"
"31","668","173"
"32","485","144"
"33","814","14"
"34","879","121"
"35","356","63"
"36","530","61"
"37","310","105"
"38","989","122"
"39","18","185"
"40","512","191"
"41","964","195"
"42","845","17"
"43","357","173"
"44","273","63"
"45","447","61"
"46","274","73"
"47","112","98"
"48","109","60"
"49","979","173"
"50","731","14"
"51","841","61"
"52","274","173"
"53","653","195"
"54","687","7"
"55","263","14"
"56","937","148"
"57","119","155"
"58","524","68"
"59","978","63"
"60","306","140"
"61","141","173"
"62","470","43"
"63","287","14"
"64","832","153"
"65","992","14"
"66","978","17"
"67","535","173"
"68","736","172"
"69","746","98"
"70","959","83"
"71","681","14"
"72","966","200"
"73","828","111"
"74","538","59"
"75","893","195"
"76","344","63"
"77","667","17"
"78","452","173"
"79","114","195"
"80","168","74"
"81","216","0"
"82","226","18"
"83","728","105"
"84","425","195"
"85","210","153"
"86","759","148"
"87","297","132"
"88","442","78"
"89","435","98"
"90","124","98"
"91","872","41"
"92","137","148"
"93","369","173"
"94","961","180"
"95","532","12"
"96","716","105"
"97","829","98"
"98","985","34"
"99","750","17"
"100","897","183"
"101","124","61"
"102","731","83"
"103","763","173"
"104","430","178"
"105","261","63"
"106","592","153"
"107","836","9"
"108","572","63"
"109","922","193"
"110","748","195"
"111","396","74"
"112","680","173"
"113","275","14"
"114","43","195"
"115","696","115"
"116","833","17"
"117","436","25"
"118","531","148"
"119","207","98"
"120","574","91"
"121","111","111"
"122","629","163"
"123","994","28"
"124","21","17"
"125","409","61"
"126","553","106"
"127","189","105"
"128","79","127"
"129","150","98"
"130","941","173"
"131","252","155"
"132","380","195"
"133","867","12"
"134","252","178"
"135","236","173"
"136","932","165"
"137","225","14"
"138","940","63"
"139","372","111"
"140","544","98"
"141","161","140"
"142","941","127"
"143","98","61"
"144","691","172"
"145","950","12"
"146","69","195"
"147","99","148"
"148","858","173"
"149","116","200"
"150","272","105"
"151","857","86"
"152","546","63"
"153","774","172"
"154","857","63"
"155","507","102"
"156","142","14"
"157","565","20"
"158","823","105"
"159","547","173"
"160","410","148"
"161","121","0"
"162","417","105"
"163","268","143"
"164","887","148"
"165","408","74"
"166","764","14"
"167","316","52"
"168","994","111"
"169","344","17"
"170","463","195"
"171","453","14"
"172","464","173"
"173","802","74"
"174","786","132"
"175","544","12"
"176","473","98"
"177","919","172"
"178","162","98"
